Company,Symbol,Weight,Price,,,,,,,,,,,,,,,,,,,,Country
American Electric Power,AEP,0.12%,125.66,,,,,,,,,,,,,,,,,,,,USA
Republic Services,RSG,0.11%,219.3,,,,,,,,,,,,,,,,,,,,USA
CRH plc,CRH,0.11%,100.47,,,,,,,,,,,,,,,,,,,,USA
Hilton Worldwide,HLT,0.11%,292.58,,,,,,,,,,,,,,,,,,,,USA
TransDigm Group,TDG,0.11%,1177.39,,,,,,,,,,,,,,,,,,,,USA
L3Harris,LHX,0.11%,352.85,,,,,,,,,,,,,,,,,,,,USA
General Motors,GM,0.11%,72.81,,,,,,,,,,,,,,,,,,,,USA
Apollo Global Management,APO,0.11%,112,,,,,,,,,,,,,,,,,,,,USA
Elevance Health,ELV,0.11%,291.48,,,,,,,,,,,,,,,,,,,,USA
Travelers Companies (The),TRV,0.11%,296.6,,,,,,,,,,,,,,,,,,,,USA
"Robinhood Markets, Inc.",HOOD,0.11%,70.89,,,,,,,,,,,,,,,,,,,,USA
Cencora,COR,0.11%,326.91,,,,,,,,,,,,,,,,,,,,USA
Norfolk Southern Railway,NSC,0.11%,281.09,,,,,,,,,,,,,,,,,,,,USA
Air Products,APD,0.11%,281.01,,,,,,,,,,,,,,,,,,,,USA
Fortinet,FTNT,0.10%,81.4,,,,,,,,,,,,,,,,,,,,USA
Simon Property Group,SPG,0.10%,184.52,,,,,,,,,,,,,,,,,,,,USA
Sempra,SRE,0.10%,91.72,,,,,,,,,,,,,,,,,,,,USA
Occidental Petroleum,OXY,0.10%,60.71,,,,,,,,,,,,,,,,,,,,USA
Baker Hughes,BKR,0.10%,60.35,,,,,,,,,,,,,,,,,,,,USA
Digital Realty,DLR,0.10%,173.3,,,,,,,,,,,,,,,,,,,,USA
Paccar,PCAR,0.10%,111.26,,,,,,,,,,,,,,,,,,,,USA
TE Connectivity,TEL,0.10%,195.84,,,,,,,,,,,,,,,,,,,,USA
Realty Income,O,0.10%,60.95,,,,,,,,,,,,,,,,,,,,USA
ONEOK,OKE,0.10%,89.21,,,,,,,,,,,,,,,,,,,,USA
Arthur J. Gallagher & Co.,AJG,0.09%,214.82,,,,,,,,,,,,,,,,,,,,USA
Aflac,AFL,0.09%,106.22,,,,,,,,,,,,,,,,,,,,USA
Truist Financial,TFC,0.09%,44.16,,,,,,,,,,,,,,,,,,,,USA
Ciena Corporation,CIEN,0.09%,383.89,,,,,,,,,,,,,,,,,,,,USA
AutoZone,AZO,0.09%,3282.9,,,,,,,,,,,,,,,,,,,,USA
Diamondback Energy,FANG,0.09%,192.54,,,,,,,,,,,,,,,,,,,,USA
Allstate,ALL,0.09%,205.62,,,,,,,,,,,,,,,,,,,,USA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
