Company Name,Industry,Symbol,Series,ISIN Code,Country
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,India
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,India
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,India
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,India
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,India
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,India
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,India
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,India
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,India
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029,India
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,India
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,India
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,India
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,India
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,India
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,India
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,India
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,India
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,India
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,India
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,India
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,India
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,India
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,India
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,India
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,India
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014,India
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,India
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,India
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026,India
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,India
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,India
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,India
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,India
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,India
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021,India
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,India
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,India
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,India
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,India
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,India
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,India
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,India
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,India
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,India
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025,India
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025,India
